RNU4,RNU6,PRPF40A,SF3B1,SNRNP200,U2AF2,RNU12,ESRP1,ESRP2,KHDRBS1,MAGOH,NOVA1,PTBP1,RBM3,RBM45,SND1,SRRM1,SRRM4,SRSF2,SRSF3,SRSF4,SRSF5,SRSF9,SRSF10,TIA1,TRA2A,Class
590045926,43890449.3,8239.62892,888273.748,2439653006,36631.1871,163236.704,3373093.82,170309.408,903166.538,210506.695,653598.433,136265.964,507408.981,53021.49,553998.501,6499675.9,11746.8092,70239.3601,582523.676,54913.2284,6918133.14,1626643.76,472537.029,450460.118,5161916.9,N
3059101847,163296105,601308.221,5190577.76,3578886928,269913.851,293211.761,4105735.03,630206.559,9225244.43,342690.572,1143742.35,750537.315,4653169.23,1166099.34,2719028.07,11536903,58128.5426,658363.298,7438966.52,1070148.05,75498240.4,12582602.7,3699637.67,2526087.4,26402123.1,N
3931198969,214703929,752555.054,8786973.59,4698627710,753478.874,127563.358,3603158.87,384622.297,11961111.1,637081.687,2838027.8,1078350.7,8021367.18,1900887.34,3158866.85,13440649.7,147578.032,816948.244,7441551.58,2319513.35,107989922,15004310,6760752.4,5074308.74,38973108.1,N
147316621,29472968.4,9252.13524,1291485.75,2245436167,12380.5191,106506.2,2816360.74,403320.78,2413868.84,287523.848,461817.172,150422.231,1229304.15,179389.688,561655.058,7366562.14,30501.2556,139056.908,433129.475,117416.346,18052707.7,3310132.85,1101029.31,812455.75,7651979.64,N
1268910646,75566826.4,185638.715,2674476.21,2899647455,102082.181,250626.9,2794438.04,790208.389,2529682.13,201458.378,563814.858,142903.753,975743.471,250883.742,1199612.4,7902018.07,46338.8861918116,147513.958,864486.074,151109.402,23120431.7,5129957.31,1647613.12,444250.769,8845191.62,N
5394558729,328236155,2075553.73,12698642.3,4669221412.10483,515366.698,281004.906,3456428.69,1085283.77,15684034.5,715824.92,3237808.56,1239358.09,6829813.32,3835133.92,5067170.61,15362129.1,136453.198,1016228.85,8068898.29,1600560.76,126497914,18884048.8,13286684,5346429.71,46981475.8,N
3001436250,31528923.5,552326.336,2361417.84,3021618477,137732.268,51725.3811,4201096.02,372478.755,4852787.11,168508.829,498446.783,344334.432,1950076.29,259323.453,821683.964,9144938.68,49317.8248601671,199975.6,2888983.26,714413.262,23257737.6,4742197.03,1107838.85,915498.361,5087133.7,N
8537173190,369085629,3334299.57,29563621.2,4622922711,2286691.51,344627.85,6948378.39,3904356.05,41639574.9,2237673.28,13313301.2,3111739.97,6368742.99562997,8299862.61,15319321.3,36000288.4,26584.5942,4578874.01,27139792.8358003,3316177.31155096,155648439.460955,61950105.4,15929830.338151,8441380.07505117,49301146.2602325,N
741320090,67388407.5,281352.501,5020853.58,1717458520,204788.731,334124.065,3974921.59,434718.435,7293030.35,367461.579,2214123.89,927494.466,2999977.29,1259272.76,2203852.44,11859707.5,14012.1177,502070.517,6082985.58,885124.941,78323171.4,11048896,4358626.36,1491002.08,38485015.8,N
2679141615,94193908.5,393011.806,4212154.25,3684196027,461615.641,319385.745,7813823.07,162357.45,5262145.26,460855.754,1263485.86,401055.447,2125160.95,1078819.04,4686791.65,9895534.32,193968.643,859074.989,1218337.78,838433.894,20208328.3,10502835.6,5121889.94,1558424.59,19980801.4,N
