id,CA150,CUGBP,ESRP1,ESRP2,FBP11,MAGOH,NOVA1,nSR100,PRP8,PSF,PTB,RAVER1,RBM17,RBM22,RBM3,RBM45,SAM68TV1,SC35,sf3btv1,SF3BTV2,SKIP,SND1,SRM160,SRSF1,SRSF10,SRSF3,SRSF4,SRSF5,SRSF6,SRSF9,TIA1,TRA2A,TRA2B,U1,U11,U12,U2,U2AF1,U2AF2,U4,U4ATAC,U5,U6,U6ATAC
CP_0156,36226858.5844535,6852887.38279157,5214207.30570984,,23694446.5715627,931173.327899338,,,55447650.6575291,1891.78592910828,22069461.190777,7776392.72275232,19477849.9418398,11117342.1693594,45627195.8025329,2053471.56550327,37971.1346611467,727086.650800436,1668639.95927815,18988308.0840168,7906.4562810774,38511302.3384146,22182830.7002369,976384.754195604,17570171.0383815,72645583.0509573,8847928.79044315,103018302.403028,2710821.88740722,58557381.5892163,9719630.1829279,26812455.3645742,24989218.2998429,,381272231.685436,13923.5436133958,1296359232.34853,9039480.52440042,13099634.4486434,15676051905.2893,113549.363716835,18552715.3992324,19661958.8736701,859876.747263806
CP_0157,24354296.8264694,4007107.91260472,535628.923132805,32067.5112347029,10203157.8944079,8674075.43791823,11674006.0832976,9425.18116626463,32784116.0976907,3134.80196999957,18182174.2988688,6825582.63366038,37605021.6760295,11770704.2908839,44025946.8471265,1392658.55174056,326798.243314577,1850881.12252773,436236.188340576,14856410.5348939,3927.418598507,34198530.3621103,15033658.1867013,10973.2761293447,18850856.2925546,101599446.355496,10080012.6144254,198101470.907611,6975780.44265606,69556539.7959941,8155319.77806349,31461750.3429904,16667117.6352732,,115819921.473101,16936.2225912591,74661140.033133,25156403.3015998,13247261.2963852,9895975062.42177,855454.883970457,297035321.231855,450900039.370399,3780762.67521505
CP_0184,18300799.5432236,3016409.97853087,166919.64821063,,25669790.6831657,2596053.25588297,127536.955985266,,42115404.1772201,145751.296176748,15761706.4209418,6738470.93610815,14052621.3266515,14948923.9066743,33554423.5824202,3010089.745059,998429.34943101,2613657.78831056,8624544.62546014,34037188.5467576,307914.271543807,29833808.1026946,24055887.7389191,24071.4268811449,18869835.7337037,44691942.2443881,10037432.8410666,130738639.918023,6071247.95688998,46387926.9942784,6555130.47433391,30912851.641635,14410723.091178,,55999278.4237583,25105.7707761169,844047240.501439,11946410.3386588,15149354.6895584,2276639468.01247,606604.569808082,22735928.4399155,66106862.2646719,1109882.90058967
CP_0191,23840985.1733476,2634552.11632326,338758.18665718,8802.90598989337,22868729.4084797,3123029.47158035,4000393.20163008,7017.6521241432,41757223.747811,109930.281950991,14719873.6758784,5707255.69250947,19926385.2580518,16358418.1678804,39438488.8285,2831421.10969009,949952.251875882,3516620.66718834,9533067.5796383,42383830.9505784,200685.839101703,25226328.0293784,23987051.4424818,38168.6323126802,21795846.7148693,55012051.7069143,9980078.28458177,119574351.47227,6523298.77705285,51945088.965948,6144053.49716777,30209801.6476933,15511769.8461586,,84241488.1773277,53554.1727923149,883567698.821491,14347019.8541414,13068457.1429118,4036702206.76186,1861543.97261385,23245673.8479918,92892610.0534129,2709889.49153218
CP_0193,23739768.327247,4449369.27299038,234479.745034388,6156.37792891767,40461708.7114377,3955580.19351285,2682387.80248271,10347.1266200926,51570689.9055088,233455.097914837,17609278.3610101,7774199.19147861,21703109.1526196,23081077.6845977,30392156.9627375,5607629.89715513,1645620.86950221,7986803.276233,12303818.3220178,48193322.1622958,494416.221626204,22137380.0414025,37493623.903378,22326.7063902698,26911122.8607704,63851044.685835,14067803.340011,103037453.951314,9695999.491226,57477303.8704304,11917347.3172302,36551777.9462353,18516592.8341337,,77443429.3539441,86918.66042871,189154231.40681,15440560.297232,17132948.2970569,1849188625.41637,1780750.81783382,23321745.4449758,90423627.5814221,3401166.91077527
CP_0196,29353371.5541515,2918440.976849,288148.348308919,,22883909.8700978,2567552.95143357,4370469.07800093,3576.18002966013,56948251.6083588,164547.927893286,18240903.4172384,6409802.06125572,24397880.3080594,17966937.6892328,43874015.8823961,3673806.19438216,906088.645271307,2579707.75282346,8891413.72795526,44700563.3479858,277081.388261144,28571170.2909841,24779906.3189266,73406.9812745596,22962330.5736396,65512097.1338125,11921780.3577542,145074761.327286,7035898.53355941,65503970.0806378,8955628.12508106,43389303.6864671,18749253.0510778,,100319815.910616,37303.6115059854,1220732760.47658,15549265.3800714,17520019.8282034,3669815515.41268,1548961.64185469,31895693.9185573,96012825.3151194,3354524.95220383
CP_0197,22314866.5552114,3838392.31960662,109725.292407783,5381.31112481968,30564373.3320025,4012194.75243969,113308.036152317,,61734333.3403926,186693.059563806,25125196.8065088,11349925.3965806,18085631.8764605,25188771.2523171,60566332.9304295,3308396.36213504,1423820.21525598,4685426.82941448,11011960.1195988,42223343.6034627,255106.488503626,25983477.2735767,33545149.463572,6847.92045743687,18443654.4292514,64244927.5292047,13113791.2071711,160727933.700962,7971169.50233557,54867576.661647,8930427.14973215,30056412.7516179,23598948.2791651,,64028520.4994203,43757.8465688443,201312307.141779,13352775.122952,18677279.1966876,1581608015.34178,384424.02853812,20953792.7583031,63181299.0598372,1900792.00605153
CP_0212,28092918.5374531,3512890.7471539,174867.775093839,5208.47087734654,32439222.5469855,5780576.67378427,339803.268974269,7344.57125033877,29639648.4903022,438596.470244623,1253713896.08876,5388664.57170398,16002302.2023344,16325088.5883879,28482370.7699317,2884922.8803054,806139.358845688,4381496.59998715,6580865.35989537,33655273.8733062,4751.65972250283,32226356.9131323,18780057.2520847,35926.0562535745,22804964.1526228,95092967.4248414,11522589.3007068,151397477.708808,5962361.91330197,68533137.9849225,11017374.3637551,36458095.6883363,47207538.0295596,73024064.5305442,92129555.6693633,59874.8728758153,779297911.89707,8918479.46922233,8815670.4558858,2322460698.38329,,15385362.8431218,38090606.9240442,74379.0438325997
CP_0218,33784177.2223686,4058301.05465201,91422.4303551766,13053.6978921663,15789008.0687854,4338963.31364509,700217.687622482,,55052014.4739272,259570.877986583,2162566119.67852,9237205.43638732,23012549.933422,24827554.0398292,57489734.1014264,3451425.13605924,1224292.51563291,6767958.15524623,4796728.60825148,39514528.6690187,3872.46771531197,44677015.2661573,31112824.2358042,29622.5039595971,24262462.8680455,128057023.707831,17549065.4136183,188587677.902698,7318826.67444448,75151724.2155455,15135677.5741638,34799637.97463,47105854.6724838,68243157.9490291,117778438.562637,73544.1345676672,320947432.042113,14298024.8694236,18352507.5254703,1817224129.47383,,26072378.4815213,57602181.9385379,192884.755350498
CP_0245,26507386.0951121,5643186.32034693,38373.5345350541,26851.0031459221,42384730.1838078,7841939.85593007,67313.7448462742,,68871470.4264376,50541.880777279,26598584.0230692,15650439.8827455,23497255.4454203,40505194.9899393,72086064.5637314,6456760.18732517,2260573.55294213,4963044.54161375,5364799.35100046,40673478.9280585,463294.363808686,36476877.0624588,31022773.1894589,8214.60667344391,60269428.2854268,123767139.955676,20312144.4540235,94837645.1261315,15096661.1396042,48126251.6762706,20177484.5260587,44030887.1104544,47395635.4990488,,142494816.122312,299131.942501593,91452289.6998322,16109953.5788865,23425425.0412899,462247232.089122,2784761.5542377,35142752.3485645,60672721.8505191,1008663.54131426
