MAGOH,RBM22,SRRM4,PSF,NOVA1,SRSF6,RBM3,RBM45,SRSF1,SNRNP200,SRRM1,SF3B1,U2AF1,U2AF2,TCERG1,PRPF8,CELF1,ESRP1,ESRP2,RBM17,SNW1,SND1,TIA1,SRSF2,SRSF4,SRSF5,SRSF9,TRA2A,TRA2B,KHRSB1,RAVER1,PTBP1,SRSF3,Cancer
3358286,7969596,13820,48203754,1607739,45242428,24516872,1566279,36715421,62563630,29345622,84484290,10141600,23782153,8361961,76062003,22444910,29208211,16804357,12437369,15376623,67783829,17608714,24500578,16626728,64995392,35612903,13576875,23530792,34215333,9910348,38957687,45258483,1
3244464,9831215,24456,40814458,627698,43914389,56354217,2046132,38232501,69120123,23923030,61768412,8843418,22890440,6279558,117764076,22725117,34498272,11632224,10656549,12721729,71628159,10325903,20021899,14022630,37923979,24839081,10618606,20874043,32752897,10268988,40853716,41108476,1
3411477,9657103,0.3499,42669524,433870,37599720,38414976,1847446,43820854,65150455,26932969,63564979,10883721,34612859,7346101,102656635,23220246,24771546,24801642,9507524,12019152,89239398,12481532,25818824,14320109,45056088,25231190,13099863,20563611,26976744,15477428,53797538,41521204,1
3596824,8187780,27615,57936382,314118,44263031,25467725,1846738,43096307,57642389,21999593,45844024,9199756,28063531,5208715,99193647,14750560,23408674,19727143,8560375,11574018,104267970,5640399,17027164,14823865,21608634,21042558,8825087,23343515,29607005,15304419,43803706,38142944,1
2335082,7653673,0.3748,39627436,547226,61525487,23452024,1885307,36806597,47646177,22148910,45929177,8507869,32996368,6083535,95556901,17602906,39210048,37372881,8892252,10920097,95777845,5938257,21394976,10281477,34319007,25502421,9179782,22884383,26319613,13762107,44058717,39052663,1
3036791,9484495,37075,55298889,269637,50482862,50479491,2005428,40695024,64733198,29032408,60331080,9319966,22563146,7426751,118501593,22019119,30813709,19012979,10109583,12783089,103324784,11561359,21749095,12792415,29396130,26215901,17278309,19382918,36269527,9646382,39101578,47255771,1
2301283,9844379,0.0000,51174483,520867,43828559,38146378,1472632,47768205,60321091,23890304,39357493,8669931,26985309,4928501,94667973,18135162,24932419,25684623,8105779,11239961,105739471,6487757,20151224,16591577,33539667,27627816,7886386,18899119,28238981,17704212,45700294,44861900,1
2809171,8742473,30107,33931403,893932,33506253,26373321,1262158,28684576,63376563,25792189,44654385,8288873,32229919,6131172,95820192,18131172,41892410,29043478,7740604,11148121,151460575,4630803,17945291,13948416,45627119,24981577,9665438,19646279,26785556,14791452,48545321,37302874,1
3873518,9881423,0.0000,63013834,189723,34474308,36110672,1833992,49928854,59296443,24228500,46685294,8841975,32139087,5948463,98110318,19025147,25296492,29742316,8415606,11747904,104986029,4139501,22923440,12791059,34403394,27544241,7277243,18631895,30102453,18826451,47968540,34767670,1
3066378,6341991,0.0000,48078211,151515,36464646,38239538,1421356,36753247,74163059,18056003,45381397,11750885,33537174,7119408,69459285,16079820,20473125,40160927,9575153,11696170,134106855,6961699,21561635,16604442,51486965,29182491,9681365,17737367,22568394,17824268,42285163,36926295,1
