pred,obs,N,S,rowIndex,C,M,Resample
N,N,0.817307692307692,0.182692307692308,88,0.3775,1,Fold02.Rep2
N,N,0.616666666666667,0.383333333333333,89,0.3775,1,Fold02.Rep2
N,N,0.817307692307692,0.182692307692308,97,0.3775,1,Fold02.Rep2
N,N,0.616666666666667,0.383333333333333,113,0.3775,1,Fold02.Rep2
N,N,0.817307692307692,0.182692307692308,116,0.3775,1,Fold02.Rep2
N,N,0.616666666666667,0.383333333333333,130,0.3775,1,Fold02.Rep2
N,N,0.817307692307692,0.182692307692308,131,0.3775,1,Fold02.Rep2
S,N,0.380952380952381,0.619047619047619,140,0.3775,1,Fold02.Rep2
N,S,0.817307692307692,0.182692307692308,154,0.3775,1,Fold02.Rep2
N,S,0.616666666666667,0.383333333333333,192,0.3775,1,Fold02.Rep2
N,S,0.616666666666667,0.383333333333333,195,0.3775,1,Fold02.Rep2
N,S,0.616666666666667,0.383333333333333,197,0.3775,1,Fold02.Rep2
S,S,0.380952380952381,0.619047619047619,201,0.3775,1,Fold02.Rep2
N,S,0.616666666666667,0.383333333333333,205,0.3775,1,Fold02.Rep2
N,N,0.826923076923077,0.173076923076923,12,0.3775,1,Fold03.Rep2
N,N,0.617021276595745,0.382978723404255,14,0.3775,1,Fold03.Rep2
N,N,0.617021276595745,0.382978723404255,43,0.3775,1,Fold03.Rep2
N,N,0.826923076923077,0.173076923076923,64,0.3775,1,Fold03.Rep2
N,N,0.617021276595745,0.382978723404255,68,0.3775,1,Fold03.Rep2
N,N,0.617021276595745,0.382978723404255,74,0.3775,1,Fold03.Rep2
S,N,0.441176470588235,0.558823529411765,77,0.3775,1,Fold03.Rep2
N,N,0.826923076923077,0.173076923076923,80,0.3775,1,Fold03.Rep2
S,N,0.441176470588235,0.558823529411765,90,0.3775,1,Fold03.Rep2
N,N,0.826923076923077,0.173076923076923,107,0.3775,1,Fold03.Rep2
N,N,0.826923076923077,0.173076923076923,127,0.3775,1,Fold03.Rep2
N,N,0.826923076923077,0.173076923076923,134,0.3775,1,Fold03.Rep2
N,N,0.826923076923077,0.173076923076923,138,0.3775,1,Fold03.Rep2
N,N,0.826923076923077,0.173076923076923,142,0.3775,1,Fold03.Rep2
N,S,0.826923076923077,0.173076923076923,147,0.3775,1,Fold03.Rep2
N,S,0.617021276595745,0.382978723404255,148,0.3775,1,Fold03.Rep2
N,S,0.826923076923077,0.173076923076923,165,0.3775,1,Fold03.Rep2
N,S,0.617021276595745,0.382978723404255,169,0.3775,1,Fold03.Rep2
S,S,0.441176470588235,0.558823529411765,188,0.3775,1,Fold03.Rep2
N,S,0.617021276595745,0.382978723404255,189,0.3775,1,Fold03.Rep2
N,N,0.701086956521739,0.298913043478261,4,0.3775,1,Fold04.Rep2
N,N,0.701086956521739,0.298913043478261,7,0.3775,1,Fold04.Rep2
N,N,0.701086956521739,0.298913043478261,9,0.3775,1,Fold04.Rep2
N,N,0.701086956521739,0.298913043478261,22,0.3775,1,Fold04.Rep2
N,N,0.701086956521739,0.298913043478261,23,0.3775,1,Fold04.Rep2
N,N,0.701086956521739,0.298913043478261,28,0.3775,1,Fold04.Rep2
N,N,0.701086956521739,0.298913043478261,29,0.3775,1,Fold04.Rep2
N,N,0.701086956521739,0.298913043478261,35,0.3775,1,Fold04.Rep2
N,N,0.701086956521739,0.298913043478261,55,0.3775,1,Fold04.Rep2
N,N,0.701086956521739,0.298913043478261,103,0.3775,1,Fold04.Rep2
N,N,0.701086956521739,0.298913043478261,105,0.3775,1,Fold04.Rep2
N,N,0.701086956521739,0.298913043478261,108,0.3775,1,Fold04.Rep2
N,N,0.701086956521739,0.298913043478261,119,0.3775,1,Fold04.Rep2
N,N,0.701086956521739,0.298913043478261,126,0.3775,1,Fold04.Rep2
N,N,0.701086956521739,0.298913043478261,144,0.3775,1,Fold04.Rep2
N,S,0.701086956521739,0.298913043478261,146,0.3775,1,Fold04.Rep2
N,S,0.701086956521739,0.298913043478261,153,0.3775,1,Fold04.Rep2
N,S,0.701086956521739,0.298913043478261,157,0.3775,1,Fold04.Rep2
N,S,0.701086956521739,0.298913043478261,164,0.3775,1,Fold04.Rep2
N,S,0.701086956521739,0.298913043478261,179,0.3775,1,Fold04.Rep2
N,S,0.701086956521739,0.298913043478261,198,0.3775,1,Fold04.Rep2
N,N,0.825242718446602,0.174757281553398,2,0.3775,1,Fold05.Rep2
N,N,0.825242718446602,0.174757281553398,3,0.3775,1,Fold05.Rep2
S,N,0.315789473684211,0.684210526315789,16,0.3775,1,Fold05.Rep2
N,N,0.619047619047619,0.380952380952381,17,0.3775,1,Fold05.Rep2
S,N,0.315789473684211,0.684210526315789,18,0.3775,1,Fold05.Rep2
N,N,0.825242718446602,0.174757281553398,21,0.3775,1,Fold05.Rep2
S,N,0.315789473684211,0.684210526315789,37,0.3775,1,Fold05.Rep2
N,N,0.825242718446602,0.174757281553398,72,0.3775,1,Fold05.Rep2
N,N,0.825242718446602,0.174757281553398,73,0.3775,1,Fold05.Rep2
N,N,0.825242718446602,0.174757281553398,84,0.3775,1,Fold05.Rep2
N,N,0.825242718446602,0.174757281553398,92,0.3775,1,Fold05.Rep2
N,N,0.825242718446602,0.174757281553398,114,0.3775,1,Fold05.Rep2
N,N,0.825242718446602,0.174757281553398,136,0.3775,1,Fold05.Rep2
N,N,0.619047619047619,0.380952380952381,141,0.3775,1,Fold05.Rep2
N,S,0.825242718446602,0.174757281553398,152,0.3775,1,Fold05.Rep2
N,S,0.825242718446602,0.174757281553398,173,0.3775,1,Fold05.Rep2
N,S,0.619047619047619,0.380952380952381,176,0.3775,1,Fold05.Rep2
S,S,0.315789473684211,0.684210526315789,181,0.3775,1,Fold05.Rep2
N,S,0.619047619047619,0.380952380952381,184,0.3775,1,Fold05.Rep2
N,S,0.619047619047619,0.380952380952381,193,0.3775,1,Fold05.Rep2
N,N,0.823529411764706,0.176470588235294,1,0.3775,1,Fold06.Rep2
N,N,0.60655737704918,0.39344262295082,5,0.3775,1,Fold06.Rep2
N,N,0.823529411764706,0.176470588235294,10,0.3775,1,Fold06.Rep2
N,N,0.823529411764706,0.176470588235294,40,0.3775,1,Fold06.Rep2
N,N,0.823529411764706,0.176470588235294,51,0.3775,1,Fold06.Rep2
N,N,0.823529411764706,0.176470588235294,59,0.3775,1,Fold06.Rep2
S,N,0.380952380952381,0.619047619047619,76,0.3775,1,Fold06.Rep2
N,N,0.823529411764706,0.176470588235294,95,0.3775,1,Fold06.Rep2
N,N,0.60655737704918,0.39344262295082,110,0.3775,1,Fold06.Rep2
N,N,0.823529411764706,0.176470588235294,120,0.3775,1,Fold06.Rep2
N,N,0.60655737704918,0.39344262295082,125,0.3775,1,Fold06.Rep2
N,N,0.823529411764706,0.176470588235294,129,0.3775,1,Fold06.Rep2
N,N,0.823529411764706,0.176470588235294,132,0.3775,1,Fold06.Rep2
N,N,0.60655737704918,0.39344262295082,133,0.3775,1,Fold06.Rep2
N,N,0.823529411764706,0.176470588235294,143,0.3775,1,Fold06.Rep2
N,S,0.823529411764706,0.176470588235294,145,0.3775,1,Fold06.Rep2
S,S,0.380952380952381,0.619047619047619,158,0.3775,1,Fold06.Rep2
N,S,0.823529411764706,0.176470588235294,159,0.3775,1,Fold06.Rep2
N,S,0.60655737704918,0.39344262295082,180,0.3775,1,Fold06.Rep2
N,S,0.60655737704918,0.39344262295082,183,0.3775,1,Fold06.Rep2
N,S,0.60655737704918,0.39344262295082,203,0.3775,1,Fold06.Rep2
N,N,0.706521739130435,0.293478260869565,8,0.3775,1,Fold07.Rep2
N,N,0.706521739130435,0.293478260869565,26,0.3775,1,Fold07.Rep2
N,N,0.706521739130435,0.293478260869565,32,0.3775,1,Fold07.Rep2
N,N,0.706521739130435,0.293478260869565,34,0.3775,1,Fold07.Rep2
N,N,0.706521739130435,0.293478260869565,47,0.3775,1,Fold07.Rep2
N,N,0.706521739130435,0.293478260869565,57,0.3775,1,Fold07.Rep2
N,N,0.706521739130435,0.293478260869565,63,0.3775,1,Fold07.Rep2
N,N,0.706521739130435,0.293478260869565,85,0.3775,1,Fold07.Rep2
N,N,0.706521739130435,0.293478260869565,98,0.3775,1,Fold07.Rep2
N,N,0.706521739130435,0.293478260869565,109,0.3775,1,Fold07.Rep2
N,N,0.706521739130435,0.293478260869565,111,0.3775,1,Fold07.Rep2
N,N,0.706521739130435,0.293478260869565,122,0.3775,1,Fold07.Rep2
N,N,0.706521739130435,0.293478260869565,137,0.3775,1,Fold07.Rep2
N,N,0.706521739130435,0.293478260869565,139,0.3775,1,Fold07.Rep2
N,S,0.706521739130435,0.293478260869565,151,0.3775,1,Fold07.Rep2
N,S,0.706521739130435,0.293478260869565,155,0.3775,1,Fold07.Rep2
N,S,0.706521739130435,0.293478260869565,178,0.3775,1,Fold07.Rep2
N,S,0.706521739130435,0.293478260869565,182,0.3775,1,Fold07.Rep2
N,S,0.706521739130435,0.293478260869565,186,0.3775,1,Fold07.Rep2
N,S,0.706521739130435,0.293478260869565,202,0.3775,1,Fold07.Rep2
N,S,0.706521739130435,0.293478260869565,204,0.3775,1,Fold07.Rep2
S,N,0.380952380952381,0.619047619047619,6,0.3775,1,Fold08.Rep2
N,N,0.815533980582524,0.184466019417476,11,0.3775,1,Fold08.Rep2
N,N,0.616666666666667,0.383333333333333,25,0.3775,1,Fold08.Rep2
N,N,0.815533980582524,0.184466019417476,30,0.3775,1,Fold08.Rep2
N,N,0.616666666666667,0.383333333333333,45,0.3775,1,Fold08.Rep2
N,N,0.815533980582524,0.184466019417476,46,0.3775,1,Fold08.Rep2
N,N,0.815533980582524,0.184466019417476,62,0.3775,1,Fold08.Rep2
N,N,0.815533980582524,0.184466019417476,66,0.3775,1,Fold08.Rep2
N,N,0.616666666666667,0.383333333333333,83,0.3775,1,Fold08.Rep2
