ESRP1,NOVA1,SRSF1,RNU12,RNU2,RNU4,RNU4ATAC,RNU6,RNU6ATAC,Clase
167719.885,894784.0839,56008.29842,45167.71099,331787216.5,3167106180,,71686977.37,93679.43404,S
124099.8263,449511.3694,24815.46878,29161.06643,222217955.2,1638294742,607691.0745,67686227.84,1899353.943,S
77335.9482,274337.9419,22038.11734,135664.0811,482560313.7,2112230308,1055257.909,72733989.32,2822671.496,S
121522.6487,1231055.401,80160.21072,124985.9295,263005748.3,2075348895,,80024659.17,130233.7649,S
210297.063,1467251.544,50180.06128,64737.59046,558172182.7,4211112071,,89278536.58,125134.6409,S
80647.38187,429371.7591,23891.45241,72684.62858,425141428.8,2330475361,836486.4036,82110772.81,2528129.429,S
109804.7434,541850.3696,37983.25844,33833.50985,471465737.1,2391939147,288742.809,73412860.8,2443974.472,S
257345.7366,2123358.131,31742.7599,106673.2064,356551550.2,1986169193,1189274.411,102440154.8,3734314.475,S
150708.2941,263277.7625,15548.12625,57485.5601,481715340.1,1772328698,1128855.867,62303846.92,2259717.698,S
123234.5427,879863.8723,18255.72931,62627.86405,246859278.8,1100789682,836749.0182,55472084.31,1752906.865,S
86492.3057,82242.7575,10025.1055,183257.0012,70666211.09,1193835571,883601.0526,38979645.62,1205683.433,S
288213.1663,2652850.994,30022.14295,102394.7044,276532164.1,1677669706,2330962.275,83264066.93,2844500.052,S
148168.007,2390509.563,55887.75029,145765.755,339113109.8,2418169406,3086164.468,70151041.36,1069981.437,S
46678.59385,176639.2743,13806.64618,33101.70996,355454250.8,1893315133,810617.8789,51855701.09,1891392.613,S
,,136449.7604,13511.55191,13759002.39,,1602324.568,195233624.1,490613.325,S
306709.1024,6867792.405,96901.54197,8013.835259,133835932.7,4022191059,2879093.648,71976890.01,940981.639,S
36351.14309,157309.4929,20902.62664,61676.8721,594830198.6,1808072294,1193103.102,61890015.93,1469869.408,S
154158.7621,197013.8149,27041.46759,50345.51492,73776050.02,3873488167,471107.729,6772749.773,69430.26261,S
53774.84729,206048.3744,36597.45546,9808.01519,301316507.5,2851659077,204771.9131,65650955.04,1885302.264,S
171599.4127,845182.59,44080.70082,146145.1156,713690573.8,2252890377,5497175.944,98697331.6,2158585.427,S
286360.2698,745307.8954,111405.3229,105459.799,543400184.6,6798473724,,65565399.29,77356.53242,S
,28259602.54,,9863.929917,2541807649,,,223504725.6,78907.08102,S
,,168793.7616,48141.02241,,,,,,S
131076.3472,1684345.576,16340.8884,31361.22032,218148876.6,1204576854,1005114.679,47579125.15,1402311.287,S
246147.5183,2413049.413,55003.02089,31435.61404,1649592106,3281110718,2651363.082,104737093.4,2453839.763,S
48500.92198,85830.60514,15055.67198,103435.4064,226135627.9,960589852.7,1203624.071,77414132.59,1266106.385,S
167011.704,1269689.604,33834.31524,138491.1723,204690348.3,1850531931,2614217.385,59809475.05,682951.066,S
278059.7153,1538970.759,33338.81757,3415.325779,2004141.747,97766753.12,1307717.168,14962759.83,14902.99614,S
269929.615,249177.736,21310.25969,40885.28276,938809570,1724767740,156273.9264,39518533.34,1289799.09,S
92287.28083,424276.0629,11335.52241,36167.74358,381550673.6,2013285336,1596571.978,90458575.99,2248034.745,S
135883.9158,59068.66439,29957.6058,154572.0257,899473266.8,2533879956,2972139.955,163949234.6,1213589.004,S
333130.1728,19545505.9,132864.5008,,306876186.2,6516892335,,68688395.08,1871107.921,S
256906.5058,5662883.813,19128.21393,143971.8689,294199575.7,3325197231,2707283.684,123185295,4211622.904,S
183987.271,3126835.719,40774.75404,107265.3779,279422772.8,2374302815,3233043.19,96000373.19,2558867.919,S
66988.86878,37522.4557,17846.47779,119173.6634,524319018.8,1549938302,1390943.542,56167292.76,2395931.03,S
101208.7964,278084.2443,20921.92863,48327.8506,301922391.7,1404566289,1456612.985,77215756.73,1981422.529,S
137164.7615,1427374.815,12036.04427,59621.46188,525689125.4,3544780382,3907229.088,93036963.93,2194660.022,S
78179.3604,254641.3454,22553.24157,33808.74748,174896301.7,1351550459,591909.4903,49718989.46,1165437.297,S
49977.30647,184976.916,8056.309445,18916.61332,267932641.9,1129232623,727185.0318,42492317.66,1381829.936,S
447806.9368,1736543.933,211829.4584,27286.93733,723600896.8,5687298927,,50332706.18,64422.22096,S
148184.9676,1250677.871,21143.61276,10753.91716,165909311.8,3388944745,579383.2973,144319940.1,1403848.077,S
138090.613,209017.7598,19672.95103,26677.70706,272907335.9,1838497488,515982.3864,62052363.08,1205267.064,S
120222.5261,321494.2744,12890.4896,36567.20598,225544417.1,2539067657,1308644.652,116156724.7,1813013.172,S
63037.4523,690539.3811,21918.38387,45399.48119,522446769.3,1773739355,322123.7997,51752053.28,2003738.799,S
,25709941.61,27080.07564,38068.77308,216127377.7,5591510910,1904273.254,155585211.6,3793419.617,S
145815.721,264771.4099,53500.68928,,253472195.6,3924255375,5737563.287,17837190.7,495405.2284,S
394706.1655,271224.5687,55137.75123,63770.18874,658685461.7,5056784300,533735.607,81776708.44,5230856.143,S
105234.9887,562547.3191,124988.6288,104708.7336,853441820.5,3705736644,3814594.916,67751828.28,1300029.361,S
111932.3942,1084901.869,42106.18369,46677.43002,430099187.4,1551011212,5177037.81,83764245.95,1957341.155,S
113823.5021,46014.71183,19140.98018,359515.2015,502657041.8,1695368797,9077812.155,83107094.76,1873434.724,S
,12638705.44,,82700.47131,,,,,,S
471726.7664,7939982.075,190166.3181,18630.36117,767025791.5,9020840310,2142058.323,169321052.9,2303805.017,S
299369.1194,2160832.652,132028.2219,19129.61092,667034457.9,8347094216,3011846.109,118738499.3,3134414.598,S
110197.8066,83060.98514,21993.51402,32038.30859,141007193.9,1978739019,1223213.155,81164597.15,1037316.956,S
163863.2304,298021.2479,15033.89928,195197.46,377945841,2678528278,3851529.482,175530402.7,4414326.635,S
108962.62,2206781.303,175734.672,91990.987,706688145.3,2782638810,2641488.382,70728139.15,1124249.528,S
64478.42206,98092.10562,16188.23243,32863.30189,225715473,1207842668,1140044.472,22660508.26,449498.6187,S
175841.5714,2279160.581,9714.783738,55640.95108,292645249.2,3463781068,5385577.689,29879238.52,2148612.558,S
1414379.832,43469120.26,320665.3473,158753.4934,850619360.7,8867636222,7669866.842,,,S
467571.7047,3108505.04,156557.0117,203639.2968,1444221635,10079775611,,176271187.2,183651.2605,S
60148.47787,187043.31,6441.098221,26118.77273,39082400.64,15073039191,369358.9935,6980935.919,89814.25393,S
666427.2415,34913087.74,103496.3715,38121.35764,23199269.68,11975449472,945187.4554,14412894.19,472110.153,S
69973.81001,1004635.827,35511.57885,,786702774.3,2695967026,7215431.338,42722945.38,1620545.367,S
141695.0714,1122712.343,212080.6876,75594.97115,364820422.4,5364619179,2866245.453,44731160.73,681445.153,S
1435918.697,23114497.59,498450.9716,83701.9427,1010342254,11807555131,3821462.394,355661366.4,6756740.265,S
,395343.7136,640368.5187,38469.41185,443965876.3,15663179861,887531.4531,27468367.05,150654.2013,S
