pred,obs,N,S,rowIndex,C,M,Resample
N,N,0.640625,0.359375,96,0.01,1,Fold04.Rep2
S,S,0.45,0.55,110,0.01,1,Fold04.Rep2
S,S,0.45,0.55,137,0.01,1,Fold04.Rep2
N,S,0.640625,0.359375,142,0.01,1,Fold04.Rep2
S,S,0.45,0.55,149,0.01,1,Fold04.Rep2
N,S,0.640625,0.359375,158,0.01,1,Fold04.Rep2
N,S,0.640625,0.359375,163,0.01,1,Fold04.Rep2
N,S,0.640625,0.359375,165,0.01,1,Fold04.Rep2
N,S,0.640625,0.359375,190,0.01,1,Fold04.Rep2
N,S,0.640625,0.359375,196,0.01,1,Fold04.Rep2
N,S,0.640625,0.359375,197,0.01,1,Fold04.Rep2
N,N,0.513513513513513,0.486486486486487,25,0.01,1,Fold05.Rep2
N,N,0.513513513513513,0.486486486486487,29,0.01,1,Fold05.Rep2
N,N,0.513513513513513,0.486486486486487,37,0.01,1,Fold05.Rep2
N,N,0.513513513513513,0.486486486486487,75,0.01,1,Fold05.Rep2
N,N,0.513513513513513,0.486486486486487,83,0.01,1,Fold05.Rep2
N,N,0.513513513513513,0.486486486486487,84,0.01,1,Fold05.Rep2
N,N,0.513513513513513,0.486486486486487,85,0.01,1,Fold05.Rep2
N,N,0.513513513513513,0.486486486486487,95,0.01,1,Fold05.Rep2
N,N,0.513513513513513,0.486486486486487,101,0.01,1,Fold05.Rep2
N,N,0.513513513513513,0.486486486486487,103,0.01,1,Fold05.Rep2
N,N,0.513513513513513,0.486486486486487,104,0.01,1,Fold05.Rep2
N,S,0.513513513513513,0.486486486486487,108,0.01,1,Fold05.Rep2
N,S,0.513513513513513,0.486486486486487,125,0.01,1,Fold05.Rep2
N,S,0.513513513513513,0.486486486486487,135,0.01,1,Fold05.Rep2
N,S,0.513513513513513,0.486486486486487,144,0.01,1,Fold05.Rep2
N,S,0.513513513513513,0.486486486486487,146,0.01,1,Fold05.Rep2
N,S,0.513513513513513,0.486486486486487,147,0.01,1,Fold05.Rep2
N,S,0.513513513513513,0.486486486486487,148,0.01,1,Fold05.Rep2
